ticker,date,quarter,sector,n_segments,n_management,n_analyst
AKAM,2024-02-13,2023Q4,IT,53,31,22
AKAM,2024-05-09,2024Q1,IT,54,33,21
AKAM,2024-05-09,2024Q1,IT,54,33,21
AKAM,2024-08-08,2024Q2,IT,50,29,21
AKAM,2024-08-08,2024Q2,IT,50,29,21
AKAM,2024-11-07,2024Q3,IT,30,16,14
AKAM,2024-11-07,2024Q3,IT,30,16,14
ALLE,2024-02-20,2023Q4,IT,40,25,15
ALLE,2024-04-25,2024Q1,IT,13,10,3
ALLE,2024-07-24,2024Q2,IT,30,18,12
ALLE,2024-10-24,2024Q3,IT,35,20,15
AMAT,2024-02-15,2023Q4,IT,48,30,18
AMAT,2024-05-16,2024Q1,IT,45,27,18
AMAT,2024-08-15,2024Q2,IT,47,23,24
AMAT,2024-11-14,2024Q3,IT,61,32,29
AMD,2024-01-30,2023Q4,IT,42,25,17
AMD,2024-04-30,2024Q1,IT,55,32,23
AMD,2024-07-30,2024Q2,IT,49,25,24
AMD,2024-10-29,2024Q3,IT,49,28,21
ANET,2024-02-12,2023Q4,IT,35,23,12
ANET,2024-05-07,2024Q1,IT,51,35,16
ANET,2024-07-30,2024Q2,IT,92,57,35
ANET,2024-11-07,2024Q3,IT,56,32,24
APH,2024-01-24,2023Q4,IT,26,17,9
APH,2024-04-24,2024Q1,IT,26,18,8
APH,2024-07-24,2024Q2,IT,36,22,14
APH,2024-10-23,2024Q3,IT,29,16,13
APP,2024-02-14,2023Q4,IT,45,29,16
APP,2024-02-14,2023Q4,IT,45,29,16
APP,2024-05-08,2024Q1,IT,33,22,11
APP,2024-05-08,2024Q1,IT,33,22,11
APP,2024-08-07,2024Q2,IT,42,21,21
APP,2024-08-07,2024Q2,IT,42,21,21
APP,2024-11-06,2024Q3,IT,54,28,26
APP,2024-11-06,2024Q3,IT,54,28,26
AVGO,2024-03-07,2023Q4,IT,40,23,17
AVGO,2024-06-12,2024Q1,IT,52,22,28
AVGO,2024-09-05,2024Q2,IT,43,23,20
AVGO,2024-12-12,2024Q3,IT,34,20,14
CDNS,2024-02-12,2023Q4,IT,52,32,20
CDNS,2024-02-12,2023Q4,IT,52,32,20
CDNS,2024-04-22,2024Q1,IT,46,27,19
CDNS,2024-04-22,2024Q1,IT,46,27,19
CDNS,2024-07-22,2024Q2,IT,63,33,30
CDNS,2024-07-22,2024Q2,IT,63,33,30
CDNS,2024-10-28,2024Q3,IT,68,33,35
CDNS,2024-10-28,2024Q3,IT,68,33,35
CDW,2024-02-07,2023Q4,IT,36,23,13
CDW,2024-05-01,2024Q1,IT,30,19,11
CDW,2024-07-31,2024Q2,IT,43,20,23
CDW,2024-10-30,2024Q3,IT,39,24,15
CHTR,2024-02-02,2023Q4,IT,29,23,6
CHTR,2024-04-26,2024Q1,IT,46,36,10
CHTR,2024-07-26,2024Q2,IT,37,24,13
CHTR,2024-11-01,2024Q3,IT,25,18,7
CIEN,2024-03-07,2023Q4,IT,51,32,19
CIEN,2024-06-06,2024Q1,IT,60,24,26
CIEN,2024-09-04,2024Q2,IT,46,20,18
CIEN,2024-12-12,2024Q3,IT,48,23,18
CMCSA,2024-01-25,2023Q4,IT,29,22,7
CMCSA,2024-04-25,2024Q1,IT,30,24,6
CMCSA,2024-07-23,2024Q2,IT,38,29,9
CMCSA,2024-10-31,2024Q3,IT,37,28,9
COHR,2024-02-06,2023Q4,IT,80,47,22
COHR,2024-05-07,2024Q1,IT,99,63,31
COHR,2024-08-15,2024Q2,IT,38,21,17
COHR,2024-11-06,2024Q3,IT,42,21,21
COIN,2024-02-15,2023Q4,IT,38,29,9
COIN,2024-05-02,2024Q1,IT,40,27,13
COIN,2024-08-01,2024Q2,IT,35,24,11
COIN,2024-10-30,2024Q3,IT,36,18,12
CPRT,2024-02-22,2023Q4,IT,33,21,12
CPRT,2024-02-22,2023Q4,IT,33,21,12
CPRT,2024-05-16,2024Q1,IT,29,18,11
CPRT,2024-05-16,2024Q1,IT,29,18,11
CPRT,2024-09-04,2024Q2,IT,48,24,24
CPRT,2024-09-04,2024Q2,IT,48,24,24
CPRT,2024-11-21,2024Q3,IT,33,17,16
CPRT,2024-11-21,2024Q3,IT,33,17,16
CRM,2024-02-28,2023Q4,IT,31,24,7
CRM,2024-02-28,2023Q4,IT,31,24,7
CRM,2024-05-29,2024Q1,IT,27,18,9
CRM,2024-05-29,2024Q1,IT,27,18,9
CRM,2024-08-28,2024Q2,IT,31,26,5
CRM,2024-08-28,2024Q2,IT,31,26,5
CRM,2024-12-03,2024Q3,IT,27,19,8
CRM,2024-12-03,2024Q3,IT,27,19,8
CRWD,2024-03-05,2023Q4,IT,30,18,12
CRWD,2024-03-05,2023Q4,IT,30,18,12
CRWD,2024-06-04,2024Q1,IT,28,16,12
CRWD,2024-06-04,2024Q1,IT,28,16,12
CRWD,2024-08-28,2024Q2,IT,36,21,15
CRWD,2024-08-28,2024Q2,IT,36,21,15
CRWD,2024-11-26,2024Q3,IT,37,21,16
CRWD,2024-11-26,2024Q3,IT,37,21,16
CSCO,2024-02-14,2023Q4,IT,44,30,14
CSCO,2024-05-15,2024Q1,IT,46,32,14
CSCO,2024-08-14,2024Q2,IT,49,33,16
CSCO,2024-11-13,2024Q3,IT,46,31,15
CSGP,2024-02-20,2023Q4,IT,39,29,10
CSGP,2024-02-20,2023Q4,IT,39,29,10
CSGP,2024-04-23,2024Q1,IT,47,29,18
CSGP,2024-04-23,2024Q1,IT,47,29,18
CSGP,2024-07-23,2024Q2,IT,38,20,17
CSGP,2024-07-23,2024Q2,IT,38,20,17
CSGP,2024-10-22,2024Q3,IT,29,20,9
CSGP,2024-10-22,2024Q3,IT,29,20,9
CTSH,2024-02-06,2023Q4,IT,29,18,11
CTSH,2024-02-06,2023Q4,IT,29,18,11
CTSH,2024-05-01,2024Q1,IT,35,21,14
CTSH,2024-05-01,2024Q1,IT,35,21,14
CTSH,2024-07-31,2024Q2,IT,41,25,16
CTSH,2024-07-31,2024Q2,IT,41,25,16
CTSH,2024-10-30,2024Q3,IT,39,17,22
CTSH,2024-10-30,2024Q3,IT,39,17,22
DASH,2024-02-15,2023Q4,IT,36,22,14
DASH,2024-02-15,2023Q4,IT,36,22,14
DASH,2024-05-01,2024Q1,IT,33,20,13
DASH,2024-05-01,2024Q1,IT,33,20,13
DASH,2024-08-01,2024Q2,IT,36,23,13
DASH,2024-08-01,2024Q2,IT,36,23,13
DASH,2024-10-30,2024Q3,IT,42,22,20
DASH,2024-10-30,2024Q3,IT,42,22,20
DD,2024-02-06,2023Q4,IT,64,40,24
DD,2024-05-01,2024Q1,IT,52,32,20
DD,2024-07-31,2024Q2,IT,62,20,39
DD,2024-11-05,2024Q3,IT,84,30,44
DDOG,2024-02-13,2023Q4,IT,43,26,16
DDOG,2024-02-13,2023Q4,IT,43,26,16
DDOG,2024-05-07,2024Q1,IT,52,32,19
DDOG,2024-05-07,2024Q1,IT,52,32,19
DDOG,2024-08-08,2024Q2,IT,72,36,36
DDOG,2024-08-08,2024Q2,IT,72,36,36
DDOG,2024-11-07,2024Q3,IT,54,29,25
DDOG,2024-11-07,2024Q3,IT,54,29,25
DELL,2024-02-29,2023Q4,IT,46,33,13
DELL,2024-05-30,2024Q1,IT,47,30,17
DELL,2024-08-29,2024Q2,IT,49,32,17
DELL,2024-11-26,2024Q3,IT,63,41,22
EA,2024-01-30,2023Q4,IT,28,19,9
EA,2024-01-30,2023Q4,IT,28,19,9
EA,2024-05-07,2024Q1,IT,23,14,9
EA,2024-05-07,2024Q1,IT,23,14,9
EA,2024-07-30,2024Q2,IT,22,13,9
EA,2024-07-30,2024Q2,IT,22,13,9
EA,2024-10-29,2024Q3,IT,22,14,8
EA,2024-10-29,2024Q3,IT,22,14,8
EBAY,2024-02-27,2023Q4,IT,24,15,9
EBAY,2024-02-27,2023Q4,IT,24,15,9
EBAY,2024-05-01,2024Q1,IT,22,13,9
EBAY,2024-05-01,2024Q1,IT,22,13,9
EBAY,2024-07-31,2024Q2,IT,29,18,11
EBAY,2024-07-31,2024Q2,IT,29,18,11
EBAY,2024-10-30,2024Q3,IT,30,18,12
EBAY,2024-10-30,2024Q3,IT,30,18,12
EPAM,2024-02-15,2023Q4,IT,44,29,15
EPAM,2024-02-15,2023Q4,IT,44,29,15
EPAM,2024-05-09,2024Q1,IT,56,34,22
EPAM,2024-05-09,2024Q1,IT,56,34,22
EPAM,2024-08-08,2024Q2,IT,51,32,19
EPAM,2024-08-08,2024Q2,IT,51,32,19
EPAM,2024-11-07,2024Q3,IT,67,35,32
EPAM,2024-11-07,2024Q3,IT,67,35,32
FFIV,2024-01-29,2023Q4,IT,37,22,15
FFIV,2024-01-29,2023Q4,IT,37,22,15
FFIV,2024-04-29,2024Q1,IT,35,19,16
FFIV,2024-04-29,2024Q1,IT,35,19,16
FFIV,2024-07-29,2024Q2,IT,35,17,18
FFIV,2024-07-29,2024Q2,IT,35,17,18
FFIV,2024-10-28,2024Q3,IT,37,22,15
FFIV,2024-10-28,2024Q3,IT,37,22,15
FICO,2024-01-25,2023Q4,IT,50,29,21
FICO,2024-01-25,2023Q4,IT,50,29,21
FICO,2024-04-25,2024Q1,IT,47,28,19
FICO,2024-04-25,2024Q1,IT,47,28,19
FICO,2024-07-31,2024Q2,IT,49,28,21
FICO,2024-07-31,2024Q2,IT,49,28,21
FICO,2024-11-06,2024Q3,IT,50,27,23
FICO,2024-11-06,2024Q3,IT,50,27,23
FIS,2024-02-26,2023Q4,IT,41,23,18
FIS,2024-05-06,2024Q1,IT,4,4,0
FIS,2024-08-06,2024Q2,IT,56,32,24
FIS,2024-11-04,2024Q3,IT,48,28,20
FTNT,2024-02-06,2023Q4,IT,45,32,13
FTNT,2024-02-06,2023Q4,IT,45,32,13
FTNT,2024-05-02,2024Q1,IT,60,41,19
FTNT,2024-05-02,2024Q1,IT,60,41,19
FTNT,2024-08-06,2024Q2,IT,54,34,20
FTNT,2024-08-06,2024Q2,IT,54,34,20
FTNT,2024-11-07,2024Q3,IT,79,43,36
FTNT,2024-11-07,2024Q3,IT,79,43,36
GDDY,2024-02-13,2023Q4,IT,69,33,20
GDDY,2024-02-13,2023Q4,IT,69,33,20
GDDY,2024-05-02,2024Q1,IT,73,34,23
GDDY,2024-05-02,2024Q1,IT,73,34,23
GDDY,2024-08-01,2024Q2,IT,77,50,27
GDDY,2024-08-01,2024Q2,IT,77,50,27
GDDY,2024-10-30,2024Q3,IT,65,46,19
GDDY,2024-10-30,2024Q3,IT,65,46,19
GEN,2024-02-01,2023Q4,IT,30,17,13
GEN,2024-02-01,2023Q4,IT,30,17,13
GEN,2024-05-09,2024Q1,IT,19,11,8
GEN,2024-05-09,2024Q1,IT,19,11,8
GEN,2024-08-01,2024Q2,IT,34,20,14
GEN,2024-08-01,2024Q2,IT,34,20,14
GEN,2024-10-30,2024Q3,IT,38,21,17
GEN,2024-10-30,2024Q3,IT,38,21,17
GLW,2024-01-30,2023Q4,IT,36,26,10
GLW,2024-04-30,2024Q1,IT,39,26,13
GLW,2024-07-30,2024Q2,IT,55,27,28
GLW,2024-10-29,2024Q3,IT,44,26,18
GOOGL,2024-01-30,2023Q4,IT,26,17,9
GOOGL,2024-01-30,2023Q4,IT,26,17,9
GOOGL,2024-04-25,2024Q1,IT,31,20,11
GOOGL,2024-04-25,2024Q1,IT,31,20,11
GOOGL,2024-07-23,2024Q2,IT,30,22,8
GOOGL,2024-07-23,2024Q2,IT,30,22,8
GOOGL,2024-10-29,2024Q3,IT,32,20,12
GOOGL,2024-10-29,2024Q3,IT,32,20,12
GRMN,2024-02-21,2023Q4,IT,46,23,21
GRMN,2024-05-01,2024Q1,IT,35,17,16
GRMN,2024-07-31,2024Q2,IT,53,22,31
GRMN,2024-10-30,2024Q3,IT,31,17,14
HOOD,2024-02-13,2023Q4,IT,62,42,20
HOOD,2024-05-08,2024Q1,IT,41,30,11
HOOD,2024-08-07,2024Q2,IT,52,35,17
HOOD,2024-10-30,2024Q3,IT,40,28,12
HPE,2024-02-29,2023Q4,IT,26,17,9
HPE,2024-06-04,2024Q1,IT,36,25,11
HPE,2024-09-04,2024Q2,IT,24,15,9
HPE,2024-12-05,2024Q3,IT,44,20,12
HPQ,2024-02-28,2023Q4,IT,25,15,10
HPQ,2024-05-29,2024Q1,IT,39,26,13
HPQ,2024-08-28,2024Q2,IT,42,23,18
HPQ,2024-11-26,2024Q3,IT,49,26,22
IBM,2024-01-24,2023Q4,IT,23,15,8
IBM,2024-01-24,2023Q4,IT,23,15,8
IBM,2024-04-24,2024Q1,IT,24,16,8
IBM,2024-04-24,2024Q1,IT,24,16,8
IBM,2024-07-24,2024Q2,IT,28,20,8
IBM,2024-07-24,2024Q2,IT,28,20,8
IBM,2024-10-23,2024Q3,IT,30,21,9
IBM,2024-10-23,2024Q3,IT,30,21,9
INTC,2024-01-25,2023Q4,IT,34,22,12
INTC,2024-04-25,2024Q1,IT,49,33,16
INTC,2024-08-01,2024Q2,IT,53,22,16
INTC,2024-10-31,2024Q3,IT,51,34,17
INTU,2024-02-22,2023Q4,IT,41,24,17
INTU,2024-05-23,2024Q1,IT,40,25,15
INTU,2024-08-22,2024Q2,IT,51,35,16
INTU,2024-11-21,2024Q3,IT,46,25,21
IT,2024-02-06,2023Q4,IT,48,28,20
IT,2024-02-06,2023Q4,IT,48,28,20
IT,2024-04-30,2024Q1,IT,48,29,19
IT,2024-04-30,2024Q1,IT,48,29,19
IT,2024-07-30,2024Q2,IT,50,26,24
IT,2024-07-30,2024Q2,IT,50,26,24
IT,2024-11-05,2024Q3,IT,47,27,20
IT,2024-11-05,2024Q3,IT,47,27,20
JBL,2024-03-15,2023Q4,IT,32,22,10
JBL,2024-06-20,2024Q1,IT,45,25,20
JBL,2024-09-26,2024Q2,IT,69,40,29
JBL,2024-12-18,2024Q3,IT,46,28,18
JKHY,2024-02-07,2023Q4,IT,75,46,29
JKHY,2024-02-07,2023Q4,IT,75,46,29
JKHY,2024-05-08,2024Q1,IT,61,41,20
JKHY,2024-05-08,2024Q1,IT,61,41,20
JKHY,2024-08-21,2024Q2,IT,69,35,34
JKHY,2024-08-21,2024Q2,IT,69,35,34
JKHY,2024-11-06,2024Q3,IT,79,44,35
JKHY,2024-11-06,2024Q3,IT,79,44,35
KEYS,2024-02-20,2023Q4,IT,53,33,20
KEYS,2024-05-20,2024Q1,IT,40,27,13
KEYS,2024-08-20,2024Q2,IT,55,29,26
KEYS,2024-11-19,2024Q3,IT,55,31,24
KLAC,2024-01-25,2023Q4,IT,49,29,20
KLAC,2024-04-25,2024Q1,IT,53,33,20
KLAC,2024-07-24,2024Q2,IT,90,50,40
KLAC,2024-10-30,2024Q3,IT,77,41,36
LDOS,2024-02-13,2023Q4,IT,50,35,15
LDOS,2024-02-13,2023Q4,IT,50,35,15
LDOS,2024-04-30,2024Q1,IT,49,36,13
LDOS,2024-04-30,2024Q1,IT,49,36,13
LDOS,2024-07-30,2024Q2,IT,56,30,24
LDOS,2024-07-30,2024Q2,IT,56,30,24
LDOS,2024-10-29,2024Q3,IT,45,29,14
LDOS,2024-10-29,2024Q3,IT,45,29,14
LITE,2024-02-08,2023Q4,IT,56,34,22
LITE,2024-05-06,2024Q1,IT,65,39,26
LITE,2024-08-14,2024Q2,IT,49,30,19
LITE,2024-11-07,2024Q3,IT,73,41,32
LRCX,2024-01-24,2023Q4,IT,64,38,26
LRCX,2024-04-24,2024Q1,IT,62,36,26
LRCX,2024-07-31,2024Q2,IT,88,47,40
LRCX,2024-10-23,2024Q3,IT,63,37,26
MA,2024-01-31,2023Q4,IT,35,24,11
MA,2024-01-31,2023Q4,IT,35,24,11
MA,2024-05-01,2024Q1,IT,38,26,12
MA,2024-05-01,2024Q1,IT,38,26,12
MA,2024-07-31,2024Q2,IT,39,25,14
MA,2024-07-31,2024Q2,IT,39,25,14
MA,2024-10-31,2024Q3,IT,42,27,15
MA,2024-10-31,2024Q3,IT,42,27,15
MCHP,2024-02-01,2023Q4,IT,67,39,25
MCHP,2024-05-06,2024Q1,IT,63,38,21
MCHP,2024-08-01,2024Q2,IT,48,27,19
MCHP,2024-11-05,2024Q3,IT,89,49,40
META,2024-02-01,2023Q4,IT,23,15,8
META,2024-02-01,2023Q4,IT,23,15,8
META,2024-04-24,2024Q1,IT,26,16,10
META,2024-04-24,2024Q1,IT,26,16,10
META,2024-07-31,2024Q2,IT,27,14,10
META,2024-07-31,2024Q2,IT,27,14,10
META,2024-10-30,2024Q3,IT,25,15,10
META,2024-10-30,2024Q3,IT,25,15,10
MPWR,2024-02-07,2023Q4,IT,67,42,15
MPWR,2024-05-01,2024Q1,IT,66,41,15
MPWR,2024-08-01,2024Q2,IT,60,32,19
MPWR,2024-10-30,2024Q3,IT,95,64,20
MSFT,2024-01-30,2023Q4,IT,29,20,9
MSFT,2024-01-30,2023Q4,IT,29,20,9
MSFT,2024-04-25,2024Q1,IT,27,17,10
MSFT,2024-04-25,2024Q1,IT,27,17,10
MSFT,2024-07-30,2024Q2,IT,43,27,16
MSFT,2024-07-30,2024Q2,IT,43,27,16
MSFT,2024-10-30,2024Q3,IT,28,18,10
MSFT,2024-10-30,2024Q3,IT,28,18,10
MSI,2024-02-08,2023Q4,IT,57,41,16
MSI,2024-05-02,2024Q1,IT,27,22,5
MSI,2024-08-01,2024Q2,IT,71,46,25
MSI,2024-11-07,2024Q3,IT,49,33,16
MTD,2024-02-09,2023Q4,IT,48,28,20
MTD,2024-05-10,2024Q1,IT,42,26,16
MTD,2024-08-02,2024Q2,IT,51,26,23
MTD,2024-11-08,2024Q3,IT,69,37,30
MU,2024-03-20,2023Q4,IT,25,19,6
MU,2024-03-20,2023Q4,IT,23,17,6
MU,2024-06-26,2024Q1,IT,54,27,27
MU,2024-06-26,2024Q1,IT,33,17,16
MU,2024-09-25,2024Q2,IT,26,14,11
MU,2024-12-18,2024Q3,IT,37,19,18
NFLX,2024-01-23,2023Q4,IT,61,61,0
NFLX,2024-01-23,2023Q4,IT,61,61,0
NFLX,2024-04-18,2024Q1,IT,59,59,0
NFLX,2024-04-18,2024Q1,IT,59,59,0
NFLX,2024-07-18,2024Q2,IT,52,52,0
NFLX,2024-07-18,2024Q2,IT,52,52,0
NFLX,2024-10-17,2024Q3,IT,43,43,0
NFLX,2024-10-17,2024Q3,IT,43,43,0
NOW,2024-01-24,2023Q4,IT,46,27,19
NOW,2024-01-24,2023Q4,IT,46,27,19
NOW,2024-04-24,2024Q1,IT,47,28,19
NOW,2024-04-24,2024Q1,IT,47,28,19
NOW,2024-07-24,2024Q2,IT,49,26,23
NOW,2024-07-24,2024Q2,IT,49,26,23
NOW,2024-10-23,2024Q3,IT,62,33,28
NOW,2024-10-23,2024Q3,IT,62,33,28
NTAP,2024-02-29,2023Q4,IT,33,23,10
NTAP,2024-05-30,2024Q1,IT,54,26,28
NTAP,2024-08-28,2024Q2,IT,43,25,18
NTAP,2024-11-21,2024Q3,IT,63,39,24
NVDA,2024-02-21,2023Q4,IT,16,8,8
NVDA,2024-05-22,2024Q1,IT,17,5,12
NVDA,2024-08-28,2024Q2,IT,23,13,10
NVDA,2024-11-20,2024Q3,IT,30,17,12
NXPI,2024-02-06,2023Q4,IT,38,22,16
NXPI,2024-04-30,2024Q1,IT,38,22,16
NXPI,2024-07-23,2024Q2,IT,44,22,22
NXPI,2024-11-05,2024Q3,IT,56,26,30
ON,2024-02-05,2023Q4,IT,48,28,20
ON,2024-04-29,2024Q1,IT,58,32,26
ON,2024-07-29,2024Q2,IT,71,33,38
ON,2024-10-28,2024Q3,IT,69,39,30
ORCL,2024-03-11,2023Q4,IT,29,10,10
ORCL,2024-03-11,2023Q4,IT,29,10,10
ORCL,2024-06-11,2024Q1,IT,35,20,15
ORCL,2024-06-11,2024Q1,IT,35,20,15
ORCL,2024-09-09,2024Q2,IT,23,4,8
ORCL,2024-09-09,2024Q2,IT,23,4,8
ORCL,2024-12-09,2024Q3,IT,28,12,12
ORCL,2024-12-09,2024Q3,IT,28,12,12
PANW,2024-02-20,2023Q4,IT,53,38,15
PANW,2024-02-20,2023Q4,IT,53,38,15
PANW,2024-05-20,2024Q1,IT,57,40,17
PANW,2024-05-20,2024Q1,IT,57,40,17
PANW,2024-08-19,2024Q2,IT,43,31,12
PANW,2024-08-19,2024Q2,IT,43,31,12
PANW,2024-11-20,2024Q3,IT,53,33,20
PANW,2024-11-20,2024Q3,IT,53,33,20
PLTR,2024-02-05,2023Q4,IT,19,17,2
PLTR,2024-02-05,2023Q4,IT,19,17,2
PLTR,2024-05-06,2024Q1,IT,16,14,2
PLTR,2024-05-06,2024Q1,IT,16,14,2
PLTR,2024-08-05,2024Q2,IT,21,12,2
PLTR,2024-08-05,2024Q2,IT,21,12,2
PLTR,2024-11-04,2024Q3,IT,24,15,2
PLTR,2024-11-04,2024Q3,IT,24,15,2
PTC,2024-01-31,2023Q4,IT,36,22,14
PTC,2024-01-31,2023Q4,IT,36,22,14
PTC,2024-05-01,2024Q1,IT,46,31,15
PTC,2024-05-01,2024Q1,IT,46,31,15
PTC,2024-07-31,2024Q2,IT,45,20,24
PTC,2024-07-31,2024Q2,IT,45,20,24
PTC,2024-11-06,2024Q3,IT,34,15,18
PTC,2024-11-06,2024Q3,IT,34,15,18
QCOM,2024-01-31,2023Q4,IT,40,24,16
QCOM,2024-05-01,2024Q1,IT,39,24,15
QCOM,2024-07-31,2024Q2,IT,38,23,15
QCOM,2024-11-06,2024Q3,IT,44,22,22
ROP,2024-01-31,2023Q4,IT,54,31,23
ROP,2024-01-31,2023Q4,IT,54,31,23
ROP,2024-04-26,2024Q1,IT,58,35,23
ROP,2024-04-26,2024Q1,IT,58,35,23
ROP,2024-07-24,2024Q2,IT,43,26,17
ROP,2024-07-24,2024Q2,IT,43,26,17
ROP,2024-10-23,2024Q3,IT,48,29,19
ROP,2024-10-23,2024Q3,IT,48,29,19
SATS,2024-03-01,2023Q4,IT,53,39,14
SATS,2024-05-08,2024Q1,IT,46,32,14
SATS,2024-08-09,2024Q2,IT,59,36,23
SATS,2024-11-12,2024Q3,IT,50,30,20
SMCI,2024-01-29,2023Q4,IT,47,32,15
SMCI,2024-04-30,2024Q1,IT,34,23,11
SMCI,2024-08-06,2024Q2,IT,70,39,31
SMCI,2024-11-05,2024Q3,IT,75,40,35
SNPS,2024-02-21,2023Q4,IT,43,25,18
SNPS,2024-02-21,2023Q4,IT,43,25,18
SNPS,2024-05-22,2024Q1,IT,47,26,21
SNPS,2024-05-22,2024Q1,IT,47,26,21
SNPS,2024-08-21,2024Q2,IT,50,29,21
SNPS,2024-08-21,2024Q2,IT,50,29,21
SNPS,2024-12-04,2024Q3,IT,66,37,29
SNPS,2024-12-04,2024Q3,IT,66,37,29
STX,2024-01-24,2023Q4,IT,45,33,12
STX,2024-04-23,2024Q1,IT,41,29,12
STX,2024-07-23,2024Q2,IT,62,36,26
STX,2024-10-22,2024Q3,IT,11,3,8
SWKS,2024-01-30,2023Q4,IT,40,23,17
SWKS,2024-04-30,2024Q1,IT,49,30,19
SWKS,2024-07-30,2024Q2,IT,41,23,18
SWKS,2024-11-12,2024Q3,IT,47,26,21
T,2024-01-24,2023Q4,IT,23,16,7
T,2024-04-24,2024Q1,IT,32,20,12
T,2024-07-24,2024Q2,IT,28,20,8
T,2024-10-23,2024Q3,IT,28,17,11
TDY,2024-01-24,2023Q4,IT,61,3,26
TDY,2024-04-24,2024Q1,IT,43,3,17
TDY,2024-07-24,2024Q2,IT,54,2,24
TDY,2024-10-23,2024Q3,IT,44,4,18
TEL,2024-01-24,2023Q4,IT,35,24,11
TEL,2024-04-24,2024Q1,IT,33,22,11
TEL,2024-07-24,2024Q2,IT,45,31,14
TEL,2024-10-30,2024Q3,IT,51,21,13
TER,2024-01-31,2023Q4,IT,35,20,15
TER,2024-04-25,2024Q1,IT,48,29,19
TER,2024-07-25,2024Q2,IT,73,35,38
TER,2024-10-24,2024Q3,IT,41,23,18
TMUS,2024-01-25,2023Q4,IT,64,48,16
TMUS,2024-04-25,2024Q1,IT,68,55,13
TMUS,2024-07-31,2024Q2,IT,77,56,21
TMUS,2024-10-23,2024Q3,IT,81,61,20
TRMB,2024-02-12,2023Q4,IT,39,23,16
TRMB,2024-02-12,2023Q4,IT,39,23,16
TRMB,2024-05-03,2024Q1,IT,49,26,23
TRMB,2024-05-03,2024Q1,IT,49,26,23
TRMB,2024-08-06,2024Q2,IT,41,20,21
TRMB,2024-08-06,2024Q2,IT,41,20,21
TRMB,2024-11-06,2024Q3,IT,41,23,18
TRMB,2024-11-06,2024Q3,IT,41,23,18
TTD,2024-02-15,2023Q4,IT,22,13,9
TTD,2024-02-15,2023Q4,IT,22,13,9
TTD,2024-05-08,2024Q1,IT,31,18,13
TTD,2024-05-08,2024Q1,IT,31,18,13
TTD,2024-08-08,2024Q2,IT,29,15,14
TTD,2024-08-08,2024Q2,IT,29,15,14
TTD,2024-11-07,2024Q3,IT,28,13,15
TTD,2024-11-07,2024Q3,IT,28,13,15
TTWO,2024-02-08,2023Q4,IT,49,32,17
TTWO,2024-02-08,2023Q4,IT,49,32,17
